objectid,stationid,sampledate,trawlnumber,debristype,debriscount,comments,lat,lon,final_stratum,Type,abandoned,Replaces,area_weight,region,debris_type
2463,B18-10241,2018-08-02T00:00:00Z,1,None,0,None,34.43576,-120.23716,Mid Shelf,New Site,No,NA,67.32610042,West Santa Barbara Channel,None
2471,B18-10228,2018-08-14T00:00:00Z,2,None,0,No debris present,33.61865997,-118.0413437,Inner Shelf,New Site,No,NA,40.43039795,San Pedro Shelf,None
2472,B18-10260,2018-08-14T00:00:00Z,1,None,0,No debris present,33.60198975,-118.0563965,Mid Shelf,Revisit,No,NA,67.32610042,San Pedro Shelf,None
2473,B18-10227,2018-08-14T00:00:00Z,1,None,0,No debris present,33.62779999,-117.9871292,Inner Shelf,Revisit,No,NA,40.43039795,San Pedro Shelf,None
2476,B18-10867,2018-08-15T00:00:00Z,1,None,0,No debris present,33.65991974,-118.0550537,Inner Shelf,New Site,No,NA,40.43039795,Orange Shelf,None
2477,B18-10313,2018-08-15T00:00:00Z,1,None,0,No debris present,33.56816864,-118.024353,Outer Shelf,New Site,No,NA,23.28776249,San Pedro Channel,None
2479,B18-10258,2018-08-16T00:00:00Z,1,Other Misc. (comment req.),1,Rope (1 feet) - Photo w/one cotton glove,33.64812088,-118.1490936,Mid Shelf,Revisit,No,NA,67.32610042,San Pedro Shelf,Miscellaneous
2480,B18-10914,2018-08-16T00:00:00Z,1,None,0,No debris present,33.61119843,-118.2223816,Mid Shelf,New Site,No,NA,67.32610042,San Pedro Shelf,None
2483,B18-10220,2018-08-20T00:00:00Z,1,None,0,No debris present,33.73345184,-118.1221237,Inner Shelf,Revisit,No,NA,40.43039795,San Pedro Shelf,None
2487,B18-10226,2018-08-21T00:00:00Z,1,Plastic Piece (unid.),1,NA,33.64360046,-118.0789719,Inner Shelf,Revisit,No,NA,40.43039795,San Pedro Shelf,Plastic
2490,B18-10314,2018-08-22T00:00:00Z,1,Other Plastic (comment req.),2,1 Pipe - 6 inch diameter and 8.5 feet / 1 Broken container 48 x 20 x 18 inches (length x width x height),33.54776001,-117.8522797,Upper Slope,Revisit,No,NA,125.2249344,Orange Shelf,Plastic
2492,B18-10973,2018-08-22T00:00:00Z,1,None,0,No debris present,33.59194183,-118.0795212,Outer Shelf,Overdraw,No,B18-10312,23.28776249,San Pedro Channel,None
2493,B18-10346,2018-09-25T00:00:00Z,1,Other Plastic (comment req.),1,Plastic container,33.53673172,-117.847847,Upper Slope,Revisit,No,NA,125.2249344,Orange Slope,Plastic
2494,B18-10346,2018-09-25T00:00:00Z,1,Lumber,2,Wood pieces,33.53673172,-117.847847,Upper Slope,Revisit,No,NA,125.2249344,Orange Slope,Biodegradable
2495,B18-10344,2018-09-25T00:00:00Z,2,Other Misc. (comment req.),0,No debris present,33.55598831,-118.0215988,Upper Slope,Revisit,No,NA,125.2249344,Orange Slope,Miscellaneous
2496,B18-10345,2018-09-26T00:00:00Z,1,None,0,No debris present,33.55551147,-118.1147308,Upper Slope,New Site,No,NA,125.2249344,Orange Slope,None
2499,B18-10862,2018-09-26T00:00:00Z,1,Other Misc. (comment req.),1,Excess ball fishing line,33.68928909,-118.1919327,Inner Shelf,Overdraw,No,B18-10230,40.43039795,Orange Shelf,Miscellaneous
2509,B18-10016,2018-07-13T00:00:00Z,2,None,0,no debris present in sample,32.78485,-117.24055,Bay,New Site,No,NA,0.269230769,Mission Bay,None
2518,B18-10023,2018-07-23T00:00:00Z,1,None,0,no debris present in sample,32.71750433,-117.2155607,Bay,New Site,No,NA,0.269230769,San Diego Bay,None
2519,B18-10024,2018-07-23T00:00:00Z,1,None,0,no debris present in sample,32.7148,-117.18302,Bay,Revisit,No,NA,0.269230769,San Diego Bay,None
2526,B18-10034,2018-07-24T00:00:00Z,1,None,0,no debris present in sample,32.66518062,-117.1499572,Bay,Revisit,No,NA,0.269230769,San Diego Bay,None
