objectid,stationid,sampledate,latitude,longitude,depth,stratum,areaqweight,plasticpolymer,plastictype,count
118,B13-8116,2013-09-10,32.718402,-117.2304,4,Marina,0.25,Nylon,Line,2
119,B13-8116,2013-09-10,32.718402,-117.2304,4,Marina,0.25,Nylon,Film,3
120,B13-8116,2013-09-10,32.718402,-117.2304,4,Marina,0.25,Unknown,Unknown,706
121,B13-8116,2013-09-10,32.718402,-117.2304,4,Marina,0.25,Too small to test,Too small to test,17
122,B13-8116,2013-09-10,32.718402,-117.2304,4,Marina,0.25,Combo,Combo Other,6
123,B13-8117,2013-09-10,32.71856942,-117.2261121,6,Marina,0.25,HDPE,Fragments,1
124,B13-8117,2013-09-10,32.71856942,-117.2261121,6,Marina,0.25,PS,Film,0
125,B13-8117,2013-09-10,32.71856942,-117.2261121,6,Marina,0.25,Nylon,Film,2
126,B13-8117,2013-09-10,32.71856942,-117.2261121,6,Marina,0.25,PET (or PC),Fragments,1
127,B13-8117,2013-09-10,32.71856942,-117.2261121,6,Marina,0.25,PET (or PC),Film,1
128,B13-8117,2013-09-10,32.71856942,-117.2261121,6,Marina,0.25,Unknown,Unknown,162
129,B13-8117,2013-09-10,32.71856942,-117.2261121,6,Marina,0.25,Too small to test,Too small to test,55
130,B13-8118,2013-08-28,32.71988474,-117.1787359,11,Bay,2.41000009,HDPE,Line,1
131,B13-8118,2013-08-28,32.71988474,-117.1787359,11,Bay,2.41000009,Unknown,Unknown,22
132,B13-8122,2013-08-28,32.72414826,-117.182983,5,Bay,2.41000009,LDPE/LLDPE,Line,1
133,B13-8122,2013-08-28,32.72414826,-117.182983,5,Bay,2.41000009,Unknown,Unknown,13
134,B13-8123,2013-09-09,32.72501823,-117.1836836,6,Marina,0.27000001,Unknown,Unknown,44
135,B13-8124,2013-09-09,32.72630136,-117.1866435,4,Marina,0.27000001,Unknown,Unknown,55
136,B13-8127,2013-09-09,32.726737,-117.202524,4,Marina,0.25,PET (or PC),Fragments,1
137,B13-8127,2013-09-09,32.726737,-117.202524,4,Marina,0.25,Unknown,Unknown,121
138,B13-8127,2013-09-09,32.726737,-117.202524,4,Marina,0.25,Glass,Glass,3
139,B13-8128,2013-09-09,32.727123,-117.191922,5,Marina,0.27000001,HDPE,Whole objects,1
140,B13-8128,2013-09-09,32.727123,-117.191922,5,Marina,0.27000001,Unknown,Unknown,24
141,B13-8129,2013-07-31,32.756809,-117.235265,1,Estuaries,0.16,NA,NA,0
142,B13-8134,2013-07-31,32.757442,-117.237995,1,Estuaries,0.16,NA,NA,0
143,B13-8136,2013-07-31,32.757907,-117.227441,1,Estuaries,0.16,HDPE,Film,3
144,B13-8145,2013-08-07,32.76163213,-117.2382234,8,Marina,0.24,Unknown,Unknown,8
145,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,HDPE,Fragments,3
146,B13-8146,2013-08-07,32.76246121,-117.2362109,8,Marina,0.15000001,HDPE,Line,2
