"","tag","station","stratum","latitude","longitude"
"1611","River 2018","901M14142","Open",33.620033,-117.689407
"1671","River 2018","901M14145","Open",33.487406,-117.667811
"1731","River 2018","901M14149","Open",33.56636,-117.747794
"1741","River 2018","902M18901","Open",33.49624,-117.20413
"1771","River 2018","902M18909","Agriculture",33.464866,-117.198076
"1791","River 2018","902M20237","Open",33.409883,-117.213634
"1801","River 2018","902M20273","Open",33.402761,-117.255119
"1821","River 2018","902WE0888","Open",33.4541711,-117.30288
"1841","River 2018","903M20214","Open",33.21936164,-117.3588104
"1851","River 2018","903M20230","Open",33.23967503,-117.3177406
"1861","River 2018","903M20235","Open",33.24763134,-116.7854627
"1881","River 2018","903M20280","Open",33.296575,-117.2193
"1891","River 2018","904M21761","Open",33.107658,-117.208995
"1901","River 2018","904M21764","Urban",33.2074964,-117.2807541
"1961","River 2018","904M21782","Open",33.153595,-117.034729
"2001","River 2018","904M21784","Urban",33.187252,-117.277914
"2041","River 2018","904WE1125","Open",33.0990574,-117.12941
"2081","River 2018","905PS0026","Open",33.1075387,-116.8642
"2101","River 2018","906M21754","Open",32.95499662,-117.1727195
"2121","River 2018","906M21770","Urban",32.90359548,-117.2264432
"2161","River 2018","906M21774","Open",32.934786,-117.059969
"2171","River 2018","906M23361","Open",32.843209,-117.212391
"2201","River 2018","906M23380","Urban",32.787364,-117.186962
"2221","River 2018","907M23349","Open",32.82490114,-117.0926552
"2231","River 2018","907M23367","Open",32.96323187,-116.6639278
"2241","River 2018","907M23373","Open",32.8379715,-117.0175678
"2261","River 2018","907M23379","Open",32.80316877,-116.9243788
"2291","River 2018","907M23385","Open",32.810756,-117.074673
"2311","River 2018","907M23401","Open",32.834357,-117.046566
"2321","River 2018","907M23405","Open",32.860977,-117.008293
"2351","River 2018","908M24952","Urban",32.72468,-117.073581
"2401","River 2018","909M24951","Open",32.77032,-116.814903
"2411","River 2018","909M24953","Open",32.80649,-116.801113
"2421","River 2018","909M24955","Urban",32.66661579,-116.9955932
"2451","River 2018","909WE0662","Open",32.8996669,-116.58881
"2491","River 2018","911M24949","Open",32.8093902,-116.4399296
"2501","River 2018","911M24957","Open",32.67429686,-116.566019
"2511","River 2018","ME-CC","Open",34.1796345,-119.04059
"2541","River 2018","SGLT506","Open",34.0616723,-117.99384
"2611","River 2018","SMC00105","Open",33.7458076,-117.58472
"2621","River 2018","SMC00206","Urban",33.543591,-117.659637
"2631","River 2018","SMC00271","Open",34.5489318,-119.16562
"2641","River 2018","SMC00318","Urban",33.812879,-118.205589
"2731","River 2018","SMC00324","Open",34.300583,-119.10977
"274","River 2018","SMC00382","Urban",34.0444783,-117.9951
"277","River 2018","SMC00440","Open",34.2861499,-118.52907
"279","River 2018","SMC00480","Open",34.2342633,-117.73221
"280","River 2018","SMC00544","Urban",34.146774,-117.74153
"283","River 2018","SMC00608","Urban",34.123443,-117.902235
"289","River 2018","SMC00670","Urban",33.8686273,-117.90923
"295","River 2018","SMC00686","Urban",34.032203,-117.838198
"296","River 2018","SMC00702","Urban",33.877956,-118.002975
"300","River 2018","SMC00873","Urban",33.598493,-117.626682
"305","River 2018","SMC00926","Urban",33.907395,-117.882968
"310","River 2018","SMC01004","Open",34.1492659,-118.16567
"312","River 2018","SMC01097","Open",33.4867467,-117.2556
"317","River 2018","SMC01248","Open",34.258957,-117.744993
"318","River 2018","SMC01260","Urban",34.065024,-117.974734
"321","River 2018","SMC01384","Open",34.0645362,-118.70035
"327","River 2018","SMC01640","Open",34.1530146,-118.69681
"330","River 2018","SMC01694","Open",33.9200198,-117.90271
"336","River 2018","SMC01726","Urban",33.8635246,-117.98813
"341","River 2018","SMC01808","Open",34.309404,-118.073165
"342","River 2018","SMC02088","Open",34.302261,-118.259597
"347","River 2018","SMC02092","Open",34.279482,-118.206846
"348","River 2018","SMC02568","Open",34.278661,-118.220314
"349","River 2018","SMC02656","Open",34.0747152,-117.87267
"352","River 2018","SMC02976","Open",34.2578936,-117.75662
"357","River 2018","SMC03216","Open",34.280921,-117.840935
"363","River 2018","SMC03280","Open",34.256856,-117.856527
"366","River 2018","SMC03452","Open",34.303549,-117.832306
"367","River 2018","SMC04204","Open",34.203587,-118.018534
"368","River 2018","SMC04524","Open",34.247611,-118.033674
"369","River 2018","SMC09534","Open",33.8375606,-118.09454
"376","River 2018","SMC09698","Open",33.7459227,-116.70738
"379","River 2018","SMC11581","Urban",33.9520362,-117.6066
"384","River 2018","SMC12862","Urban",33.921483,-118.111491
"390","River 2018","SMC16832","Open",33.8844398,-118.10855
"396","River 2018","SMC20032","Open",33.8766423,-118.10775
"1104","Ocean 1994","PLAFT13320","unknown",33.6465,-118.15262
"2103","Ocean 1994","PLAFT12220","unknown",33.72233333,-118.20075
"3102","Ocean 1994","PLAFT12270","unknown",33.71817,-118.16637
"470","Ocean 1994","PLAFT12560","unknown",33.69971667,-118.1921167
"512","Ocean 1994","PLAFT12080","unknown",33.73345,-118.1490333
"612","Ocean 1994","PLAFT11690","unknown",33.83461667,-118.49275
"712","Ocean 1994","PLAFT11750","unknown",33.81013333,-118.5277833
"812","Ocean 1994","PLAFT11420","unknown",33.8478,-118.4498667
"912","Ocean 1994","PLAFT11590","unknown",33.84863333,-118.4269167
"1010","Ocean 1994","PLAFT14760","unknown",33.56433333,-118.1633333
"1114","Ocean 1994","PLAFT11730","unknown",33.817,-118.4240833
"1213","Ocean 1994","PLAFT12670","unknown",33.68512,-118.2915
"1311","Ocean 1994","POCFT13550","unknown",33.63072,-118.0791
"1412","Ocean 1994","POCFT16170","unknown",33.24928333,-117.46445
"1512","Ocean 1994","POCFT14240","unknown",33.59421667,-117.9164833
"1613","Ocean 1994","POCFT12870","unknown",33.67713333,-118.0644167
"1711","Ocean 1994","POCFT12720","unknown",33.68586667,-118.0866
"1812","Ocean 1994","POCFT13000","unknown",33.66568333,-118.1042167
"1911","Ocean 1994","POCFT16840","unknown",33.06486667,-117.3141167
"2012","Ocean 1994","POCFT14690","unknown",33.5676,-118.0321833
"2112","Ocean 1994","POCFT14180","unknown",33.58901667,-118.1025
"2212","Ocean 1994","POCFT14010","unknown",33.60698333,-117.9749333
"2312","Ocean 1994","POCFT15510","unknown",33.34183333,-117.6396667
"2412","Ocean 1994","POCFT15740","unknown",33.31123333,-117.6044833
"2512","Ocean 1994","POCFT16550","unknown",33.16716667,-117.44575
"2612","Ocean 1994","POCFT16620","unknown",33.15181667,-117.4121833
"2712","Ocean 1994","PSDFT17370","unknown",32.879,-117.3063333
"2813","Ocean 1994","PSDFT17340","unknown",32.87583333,-117.2718333
"2912","Ocean 1994","PSDFT17670","unknown",32.799,-117.3453333
"3011","Ocean 1994","PSDFT17690","unknown",32.79516667,-117.328
"3110","Ocean 1994","PSDFT17760","unknown",32.78316667,-117.2801667
"3212","Ocean 1994","PSDFT17800","unknown",32.77833333,-117.2671667
"3312","Ocean 1994","PSDFT17970","unknown",32.76683333,-117.3395
"3410","Ocean 1994","PSDFT17940","unknown",32.75483333,-117.3636667
"3513","Ocean 1994","PSDFT18500","unknown",32.65033333,-117.332
"3612","Ocean 1994","PSDFT20010","unknown",32.5365,-117.2303333
"3711","Ocean 1994","PSDFT19440","unknown",32.5865,-117.1608333
"3811","Ocean 1994","PSDFT18670","unknown",32.63983333,-117.1843333
"3911","Ocean 1994","PSDFT18920","unknown",32.61816667,-117.2723333
"4011","Ocean 1994","PSDFT18710","unknown",32.63033333,-117.3086667
"4112","Ocean 1994","PSDFT17740","unknown",32.78383,-117.37283
"4212","Ocean 1994","PSCFT01220","unknown",34.4145,-120.4211667
"4311","Ocean 1994","PSCFT01500","unknown",34.40916667,-120.4146667
"4412","Ocean 1994","PSCFT02450","unknown",34.38017,-120.42667
"4511","Ocean 1994","PSCFT02550","unknown",34.37833333,-120.4035
"4610","Ocean 1994","PSCFT01150","unknown",34.41416667,-120.3411667
"472","Ocean 1994","PSCFT00590","unknown",34.43533333,-120.2376667
"483","Ocean 1994","PSCFT00320","unknown",34.61333333,-120.2293333
"492","Ocean 1994","PSCFT00380","unknown",34.44366667,-120.0718333
"501","Ocean 1994","PSCFT00160","unknown",34.454,-120.0341667
"513","Ocean 1994","PSCFT03810","unknown",34.33466667,-119.7931667
"522","Ocean 1994","PSCFT02280","unknown",34.3895,-119.7981667
"532","Ocean 1994","PSCFT01610","unknown",34.4055,-119.7903333
"542","Ocean 1994","PSCFT02340","unknown",34.38633333,-119.685
"552","Ocean 1994","PSCFT06520","unknown",34.21066667,-119.3535
"562","Ocean 1994","PSCFT06650","unknown",34.2075,-119.3513333
"572","Ocean 1994","PSCFT07590","unknown",34.155,-119.3025
"583","Ocean 1994","PSCFT07580","unknown",34.15483333,-119.2865
"591","Ocean 1994","PSCFT08150","unknown",34.1025,-119.3066667
"601","Ocean 1994","PSCFT08900","unknown",34.02966667,-118.9496667
"613","Ocean 1994","PSCFT09760","unknown",33.989,-119.0131667
"622","Ocean 1994","PSCFT08200","unknown",34.08916667,-119.0811667
"632","Ocean 1994","PSCFT08460","unknown",34.063,-119.1243333
