objectid,stationid,sampledate,latitude,longitude,watershed,river_sitedescription,debriscategory,debrisitem,resulttotal
490,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Metal,"Nails, Screws, Bolts, etc.",2
504,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Miscellaneous,Misc. Other,8
479,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Plastic,Foam Pieces/Pellets,51
506,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Glass,Glass Bottles,1
507,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Glass,Glass Pieces,2
503,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Miscellaneous,Waxed Paper Cups/Plates,1
501,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Large,Furniture/Appliances,1
502,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Large,Tires,1
474,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Plastic,Wrapper/Wrapper Pieces,64
492,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Metal,Spray Paint Cans,2
505,412M08643,5/23/18,33.80969,-118.20509,Los Angeles,Los Angeles River,Biodegradable,Biodegradable Other,2
375,801M12672,4/26/18,33.79779,-117.948204,Anaheim Bay,Anaheim-Barber City Channel,Plastic,Soft Plastic Pieces,5
379,801M12672,4/26/18,33.79779,-117.948204,Anaheim Bay,Anaheim-Barber City Channel,Fabric_Cloth,"Natural (Cotton, Wool)",1
374,801M12672,4/26/18,33.79779,-117.948204,Anaheim Bay,Anaheim-Barber City Channel,Plastic,Plastic Straw Wrapper,1
383,801M12672,4/26/18,33.79779,-117.948204,Anaheim Bay,Anaheim-Barber City Channel,Glass,Glass Pieces,2
376,801M12672,4/26/18,33.79779,-117.948204,Anaheim Bay,Anaheim-Barber City Channel,Plastic,Straw/Stirrer,2
377,801M12672,4/26/18,33.79779,-117.948204,Anaheim Bay,Anaheim-Barber City Channel,Plastic,Wrapper/Wrapper Pieces,2
378,801M12672,4/26/18,33.79779,-117.948204,Anaheim Bay,Anaheim-Barber City Channel,Plastic,Plastic Other,1
372,801M12672,4/26/18,33.79779,-117.948204,Anaheim Bay,Anaheim-Barber City Channel,Plastic,Foam Pieces/Pellets,1
382,801M12672,4/26/18,33.79779,-117.948204,Anaheim Bay,Anaheim-Barber City Channel,Biodegradable,Paper/ cardboard,2
373,801M12672,4/26/18,33.79779,-117.948204,Anaheim Bay,Anaheim-Barber City Channel,Plastic,Hard Plastic Pieces,9
381,801M12672,4/26/18,33.79779,-117.948204,Anaheim Bay,Anaheim-Barber City Channel,Biodegradable,Food Waste,2
371,801M12672,4/26/18,33.79779,-117.948204,Anaheim Bay,Anaheim-Barber City Channel,Plastic,Cigarette Butts,8
384,801M12672,4/26/18,33.79779,-117.948204,Anaheim Bay,Anaheim-Barber City Channel,Miscellaneous,Misc. Other,1
370,801M12672,4/26/18,33.79779,-117.948204,Anaheim Bay,Anaheim-Barber City Channel,Plastic,Bag Pieces,1
380,801M12672,4/26/18,33.79779,-117.948204,Anaheim Bay,Anaheim-Barber City Channel,Fabric_Cloth,Synthetic Fabric,1
360,801M12673,4/30/18,33.60491,-117.85297,Newport Bay,Buck Gully,Plastic,Foam Cups,1
364,801M12673,4/30/18,33.60491,-117.85297,Newport Bay,Buck Gully,Plastic,Soft Plastic Pieces,4
367,801M12673,4/30/18,33.60491,-117.85297,Newport Bay,Buck Gully,Fabric_Cloth,"Natural (Cotton, Wool)",1
361,801M12673,4/30/18,33.60491,-117.85297,Newport Bay,Buck Gully,Plastic,Foam Other Containers,1
362,801M12673,4/30/18,33.60491,-117.85297,Newport Bay,Buck Gully,Plastic,Foam Packing Peanuts,5
359,801M12673,4/30/18,33.60491,-117.85297,Newport Bay,Buck Gully,Plastic,Foam Balls,1
366,801M12673,4/30/18,33.60491,-117.85297,Newport Bay,Buck Gully,Plastic,Plastic Other,1
358,801M12673,4/30/18,33.60491,-117.85297,Newport Bay,Buck Gully,Plastic,Beverage Bottles,1
365,801M12673,4/30/18,33.60491,-117.85297,Newport Bay,Buck Gully,Plastic,Wrapper/Wrapper Pieces,5
363,801M12673,4/30/18,33.60491,-117.85297,Newport Bay,Buck Gully,Plastic,Foam Pieces/Pellets,10
357,801M12673,4/30/18,33.60491,-117.85297,Newport Bay,Buck Gully,Plastic,Bag Pieces,6
356,801M12673,4/30/18,33.60491,-117.85297,Newport Bay,Buck Gully,Plastic,Bag - single use,1
387,801M12674,4/26/18,33.7305,-117.79682,Newport Bay,El Modena Channel,Plastic,Foam Pieces/Pellets,4
392,801M12674,4/26/18,33.7305,-117.79682,Newport Bay,El Modena Channel,Metal,Metal Other,1
391,801M12674,4/26/18,33.7305,-117.79682,Newport Bay,El Modena Channel,Biodegradable,Paper/ cardboard,6
389,801M12674,4/26/18,33.7305,-117.79682,Newport Bay,El Modena Channel,Plastic,Wrapper/Wrapper Pieces,2
390,801M12674,4/26/18,33.7305,-117.79682,Newport Bay,El Modena Channel,Biodegradable,Food Waste,1
386,801M12674,4/26/18,33.7305,-117.79682,Newport Bay,El Modena Channel,Plastic,Foam Packing Peanuts,1
388,801M12674,4/26/18,33.7305,-117.79682,Newport Bay,El Modena Channel,Plastic,Soft Plastic Pieces,1
385,801M12674,4/26/18,33.7305,-117.79682,Newport Bay,El Modena Channel,Plastic,Cigarette Butts,1
73,801M16973,6/6/18,33.93472,-117.34532,Santa Ana,Tequesquite Arroyo,Metal,Spray Paint Cans,1
65,801M16973,6/6/18,33.93472,-117.34532,Santa Ana,Tequesquite Arroyo,Plastic,Plastic Bottles,5
66,801M16973,6/6/18,33.93472,-117.34532,Santa Ana,Tequesquite Arroyo,Plastic,Straw/Stirrer,4
69,801M16973,6/6/18,33.93472,-117.34532,Santa Ana,Tequesquite Arroyo,Fabric_Cloth,Synthetic Fabric,2
60,801M16973,6/6/18,33.93472,-117.34532,Santa Ana,Tequesquite Arroyo,Plastic,Bag - single use,3
71,801M16973,6/6/18,33.93472,-117.34532,Santa Ana,Tequesquite Arroyo,Construction,Fabricated Wood,1
72,801M16973,6/6/18,33.93472,-117.34532,Santa Ana,Tequesquite Arroyo,Metal,Aluminum or Steel Cans,1
64,801M16973,6/6/18,33.93472,-117.34532,Santa Ana,Tequesquite Arroyo,Plastic,Foam Pieces/Pellets,4
62,801M16973,6/6/18,33.93472,-117.34532,Santa Ana,Tequesquite Arroyo,Plastic,Foam Cups,4
63,801M16973,6/6/18,33.93472,-117.34532,Santa Ana,Tequesquite Arroyo,Plastic,Foam Packing Peanuts,1
68,801M16973,6/6/18,33.93472,-117.34532,Santa Ana,Tequesquite Arroyo,Plastic,Wrapper/Wrapper Pieces,8
67,801M16973,6/6/18,33.93472,-117.34532,Santa Ana,Tequesquite Arroyo,Plastic,Tobacco Wrapper/Pieces,1
70,801M16973,6/6/18,33.93472,-117.34532,Santa Ana,Tequesquite Arroyo,Biodegradable,Paper/ cardboard,1
61,801M16973,6/6/18,33.93472,-117.34532,Santa Ana,Tequesquite Arroyo,Plastic,Cups,1
